Record_ID,Date,Day,Area,Route,Transport_Mode,Hour,Minute,Time_Band,Passenger_Count,Delay_Minutes,Service_Frequency_Per_Hour,Distance_km,Occupancy_Rate,CO2_Reduction_kg,Satisfaction_Score
1487,2025-01-04,Saturday,West,R053,Metro,10,45,Morning Peak,781,5.8,6,14.6,0.73,125.0,75.8
4105,2025-01-04,Saturday,Central,R015,Tram,10,45,Morning Peak,334,3.0,13,23.5,0.56,46.8,86.7
949,2025-01-04,Saturday,West,R008,Rail,11,15,Midday,719,5.9,12,16.5,0.7,129.4,72.0
5497,2025-01-04,Saturday,East,R058,Bus,11,15,Midday,532,7.1,7,12.7,0.63,63.8,67.3
1912,2025-01-04,Saturday,North,R078,Bus,13,30,Midday,492,5.2,8,15.6,0.51,59.0,73.5
5707,2025-01-04,Saturday,North,R044,Metro,14,15,Midday,1427,2.8,9,5.6,0.8,228.3,86.1
5014,2025-01-04,Saturday,Central,R035,Bus,14,30,Midday,368,8.8,10,2.7,0.54,44.2,59.9
2729,2025-01-04,Saturday,North,R053,Bus,16,15,Midday,692,7.9,12,24.3,0.58,83.0,55.3
497,2025-01-04,Saturday,North,R043,Bus,17,0,Evening Peak,884,9.7,8,27.1,0.64,106.1,66.2
969,2025-01-04,Saturday,South,R075,Bus,18,0,Evening Peak,1312,9.3,14,5.2,0.75,157.4,60.0
1724,2025-01-04,Saturday,North,R038,Metro,19,15,Evening Peak,805,3.6,16,4.0,0.71,128.8,87.0
3867,2025-01-04,Saturday,South,R079,Bus,19,45,Evening Peak,520,6.6,11,3.4,0.67,62.4,77.6
1329,2025-01-04,Saturday,South,R056,Shared Mobility,20,0,Late Evening,133,5.2,13,8.9,0.39,6.6,69.2
721,2025-01-05,Sunday,East,R047,Bus,5,30,Early Morning,660,5.5,8,9.0,0.63,79.2,79.2
614,2025-01-05,Sunday,East,R023,Tram,6,45,Early Morning,356,6.5,13,24.9,0.54,49.8,64.9
129,2025-01-05,Sunday,South,R051,Rail,9,0,Morning Peak,843,7.5,9,26.1,0.79,151.7,79.5
1045,2025-01-05,Sunday,North,R039,Rail,9,15,Morning Peak,936,9.3,5,2.8,0.76,168.5,65.1
416,2025-01-05,Sunday,North,R041,Bus,9,30,Morning Peak,1250,10.2,9,10.3,0.71,150.0,68.7
2052,2025-01-05,Sunday,West,R058,Metro,10,0,Morning Peak,817,5.3,4,21.0,0.76,130.7,84.1
1562,2025-01-05,Sunday,South,R029,Bus,10,15,Morning Peak,946,6.9,14,25.2,0.59,113.5,68.2
5424,2025-01-05,Sunday,West,R075,Bus,10,15,Morning Peak,962,8.7,9,24.3,0.66,115.4,69.2
4271,2025-01-05,Sunday,South,R017,Bus,11,15,Midday,449,6.1,15,6.1,0.55,53.9,82.0
843,2025-01-05,Sunday,North,R044,Tram,11,45,Midday,521,0.0,21,21.1,0.5,72.9,86.8
1092,2025-01-05,Sunday,West,R080,Cycling,12,0,Midday,467,1.7,14,10.6,0.51,42.0,76.1
3495,2025-01-05,Sunday,Central,R046,Metro,12,45,Midday,957,2.3,11,3.1,0.86,153.1,89.2
2910,2025-01-05,Sunday,South,R023,Cycling,14,15,Midday,332,2.7,20,18.9,0.48,29.9,75.2
3908,2025-01-05,Sunday,North,R004,Bus,15,0,Midday,476,6.8,7,25.6,0.58,57.1,66.5
5666,2025-01-05,Sunday,North,R022,Metro,16,0,Midday,2065,5.6,16,26.0,0.85,330.4,82.0
2331,2025-01-05,Sunday,South,R068,Bus,18,0,Evening Peak,790,8.0,11,14.3,0.7,94.8,78.5
3478,2025-01-05,Sunday,North,R006,Rail,19,15,Evening Peak,306,7.7,10,3.2,0.62,55.1,60.0
5286,2025-01-05,Sunday,West,R054,Metro,19,45,Evening Peak,416,6.4,15,21.2,0.69,66.6,87.8
2282,2025-01-05,Sunday,South,R060,Metro,20,0,Late Evening,664,0.7,16,4.5,0.7,106.2,90.7
4798,2025-01-05,Sunday,West,R065,Tram,21,15,Late Evening,271,7.0,14,14.2,0.46,37.9,84.7
2432,2025-01-05,Sunday,West,R039,Metro,22,15,Late Evening,756,6.8,14,21.7,0.74,121.0,75.6
5344,2025-01-05,Sunday,Central,R012,Metro,22,30,Late Evening,562,2.3,15,27.4,0.68,89.9,89.5
965,2025-01-06,Monday,North,R018,Shared Mobility,9,45,Morning Peak,424,5.3,15,25.9,0.36,21.2,85.6
742,2025-01-06,Monday,South,R014,Metro,10,30,Morning Peak,1159,0.0,13,7.3,0.83,185.4,91.5
5499,2025-01-06,Monday,West,R059,Tram,10,30,Morning Peak,809,5.3,10,16.6,0.68,113.3,79.4
3932,2025-01-06,Monday,South,R019,Tram,10,45,Morning Peak,404,3.4,11,8.2,0.46,56.6,84.6
5417,2025-01-06,Monday,North,R026,Metro,11,30,Midday,1198,0.0,16,12.7,0.74,191.7,87.8
4538,2025-01-06,Monday,North,R059,Metro,12,30,Midday,1265,6.3,8,27.3,0.75,202.4,92.3
4309,2025-01-06,Monday,North,R036,Bus,13,15,Midday,1078,6.0,10,4.7,0.73,129.4,61.4
935,2025-01-06,Monday,Central,R007,Bus,13,45,Midday,1253,10.4,6,18.5,0.7,150.4,61.9
5109,2025-01-06,Monday,East,R020,Metro,14,45,Midday,1989,2.8,20,25.0,0.9,318.2,80.1
4664,2025-01-06,Monday,Central,R051,Metro,15,45,Midday,1722,4.4,10,7.2,0.85,275.5,83.4
5508,2025-01-06,Monday,East,R046,Rail,17,0,Evening Peak,1036,7.2,14,27.8,0.69,186.5,76.7
335,2025-01-06,Monday,Central,R054,Bus,21,45,Late Evening,609,5.0,12,19.1,0.6,73.1,83.4
5232,2025-01-06,Monday,North,R062,Tram,23,0,Late Evening,523,1.8,12,24.2,0.59,73.2,85.9
606,2025-01-07,Tuesday,Central,R012,Cycling,7,0,Early Morning,764,3.9,14,7.6,0.53,68.8,76.9
4617,2025-01-07,Tuesday,North,R017,Rail,7,0,Early Morning,1087,7.9,7,14.8,0.68,195.7,79.1
4254,2025-01-07,Tuesday,North,R019,Bus,8,45,Morning Peak,1521,9.7,9,14.0,0.81,182.5,67.0
4946,2025-01-07,Tuesday,South,R020,Bus,9,15,Morning Peak,1113,12.3,4,20.0,0.74,133.6,57.8
895,2025-01-07,Tuesday,South,R018,Bus,10,30,Morning Peak,755,9.3,7,19.7,0.69,90.6,62.0
1860,2025-01-07,Tuesday,West,R005,Metro,10,30,Morning Peak,1121,4.4,12,13.3,0.74,179.4,80.6
5976,2025-01-07,Tuesday,Central,R017,Bus,10,45,Morning Peak,646,2.1,14,18.3,0.7,77.5,90.6
2863,2025-01-07,Tuesday,West,R043,Rail,12,15,Midday,978,5.5,10,6.9,0.82,176.0,86.5
2468,2025-01-07,Tuesday,Central,R009,Metro,15,15,Midday,1158,4.8,13,15.9,0.86,185.3,86.8
3380,2025-01-07,Tuesday,East,R037,Cycling,16,15,Midday,971,3.1,19,6.7,0.61,87.4,76.5
4373,2025-01-07,Tuesday,South,R053,Metro,16,30,Midday,1775,3.7,10,26.3,0.85,284.0,72.1
1278,2025-01-07,Tuesday,South,R002,Metro,17,15,Evening Peak,1754,2.5,20,5.5,0.84,280.6,80.2
3837,2025-01-07,Tuesday,East,R023,Metro,20,30,Late Evening,1419,4.4,14,11.9,0.82,227.0,73.3
1651,2025-01-07,Tuesday,West,R016,Rail,21,30,Late Evening,1063,4.6,17,2.1,0.73,191.3,72.6
2382,2025-01-07,Tuesday,North,R038,Metro,21,30,Late Evening,833,8.2,11,19.6,0.8,133.3,71.4
1715,2025-01-07,Tuesday,North,R018,Shared Mobility,22,15,Late Evening,283,2.4,19,5.6,0.44,14.2,70.4
1463,2025-01-07,Tuesday,Central,R019,Bus,22,30,Late Evening,331,6.4,11,6.2,0.66,39.7,65.4
829,2025-01-08,Wednesday,East,R002,Metro,8,30,Morning Peak,2147,5.7,11,19.7,0.93,343.5,76.1
876,2025-01-08,Wednesday,South,R070,Cycling,9,15,Morning Peak,721,3.7,16,17.1,0.61,64.9,80.2
1251,2025-01-08,Wednesday,Central,R016,Bus,9,15,Morning Peak,797,9.3,7,26.6,0.69,95.6,63.9
2967,2025-01-08,Wednesday,South,R013,Metro,10,15,Morning Peak,2029,4.1,16,6.9,0.87,324.6,75.5
1765,2025-01-08,Wednesday,South,R030,Rail,10,45,Morning Peak,427,5.7,12,27.3,0.51,76.9,69.4
3978,2025-01-08,Wednesday,West,R040,Bus,10,45,Morning Peak,961,8.3,14,22.7,0.73,115.3,90.5
4936,2025-01-08,Wednesday,West,R060,Rail,11,0,Midday,873,7.4,10,4.9,0.7,157.1,70.2
2990,2025-01-08,Wednesday,South,R075,Bus,12,45,Midday,455,6.1,6,7.7,0.5,54.6,73.1
2045,2025-01-08,Wednesday,West,R034,Metro,13,45,Midday,854,3.8,19,12.8,0.63,136.6,83.7
3182,2025-01-08,Wednesday,Central,R054,Metro,14,0,Midday,1050,5.4,13,13.9,0.84,168.0,73.7
4744,2025-01-08,Wednesday,South,R073,Rail,14,15,Midday,1161,6.7,8,17.8,0.77,209.0,63.3
5607,2025-01-08,Wednesday,South,R016,Bus,15,30,Midday,1083,7.6,10,14.0,0.77,130.0,71.6
2566,2025-01-08,Wednesday,North,R076,Bus,18,0,Evening Peak,1391,8.9,9,21.4,0.64,166.9,69.3
3289,2025-01-08,Wednesday,West,R058,Metro,18,45,Evening Peak,1866,2.4,16,26.1,0.94,298.6,75.0
3476,2025-01-08,Wednesday,North,R017,Metro,19,15,Evening Peak,573,2.8,11,17.3,0.74,91.7,77.7
3981,2025-01-08,Wednesday,Central,R055,Bus,19,15,Evening Peak,659,7.5,12,11.9,0.79,79.1,87.9
1942,2025-01-08,Wednesday,Central,R069,Cycling,19,45,Evening Peak,343,0.6,21,22.3,0.51,30.9,87.2
3934,2025-01-08,Wednesday,East,R054,Bus,19,45,Evening Peak,396,8.5,13,23.3,0.7,47.5,61.2
2544,2025-01-08,Wednesday,East,R005,Metro,20,30,Late Evening,819,1.2,21,22.6,0.73,131.0,96.5
5393,2025-01-08,Wednesday,West,R021,Metro,20,30,Late Evening,618,1.7,16,1.9,0.73,98.9,78.1
688,2025-01-08,Wednesday,West,R061,Metro,21,15,Late Evening,1066,1.6,16,4.5,0.87,170.6,82.9
5894,2025-01-08,Wednesday,East,R017,Metro,21,30,Late Evening,1052,2.7,16,23.5,0.81,168.3,98.0
98,2025-01-09,Thursday,East,R071,Metro,9,0,Morning Peak,2332,6.5,12,2.0,0.97,373.1,72.2
270,2025-01-09,Thursday,Central,R058,Bus,9,15,Morning Peak,1185,9.8,7,6.0,0.81,142.2,61.7
602,2025-01-09,Thursday,Central,R068,Cycling,9,45,Morning Peak,542,5.1,14,10.9,0.49,48.8,70.7
2204,2025-01-09,Thursday,East,R030,Metro,10,0,Morning Peak,934,4.4,12,18.8,0.74,149.4,76.1
1320,2025-01-09,Thursday,South,R059,Metro,10,15,Morning Peak,1629,2.6,19,10.1,0.9,260.6,82.3
1844,2025-01-09,Thursday,North,R052,Bus,10,30,Morning Peak,708,5.6,11,27.9,0.61,85.0,68.3
1784,2025-01-09,Thursday,Central,R063,Bus,10,45,Morning Peak,452,10.3,3,13.5,0.65,54.2,61.6
1568,2025-01-09,Thursday,Central,R005,Bus,19,30,Evening Peak,570,3.7,8,10.3,0.65,68.4,79.3
4167,2025-01-09,Thursday,North,R031,Tram,20,30,Late Evening,611,5.1,15,13.0,0.55,85.5,77.1
1598,2025-01-09,Thursday,East,R043,Shared Mobility,20,45,Late Evening,233,2.5,15,20.5,0.33,11.6,66.2
5662,2025-01-09,Thursday,North,R001,Bus,23,45,Late Evening,599,9.0,8,9.8,0.71,71.9,61.5
5282,2025-01-10,Friday,South,R016,Bus,8,45,Morning Peak,1084,13.5,4,11.6,0.68,130.1,55.7
4169,2025-01-10,Friday,Central,R077,Cycling,9,30,Morning Peak,495,7.5,15,27.8,0.45,44.6,69.7
2602,2025-01-10,Friday,West,R013,Cycling,9,45,Morning Peak,622,3.3,17,23.9,0.57,56.0,79.6
2684,2025-01-10,Friday,Central,R052,Bus,11,30,Midday,1120,5.9,11,22.3,0.75,134.4,77.3
1004,2025-01-10,Friday,North,R007,Rail,11,45,Midday,1207,7.2,8,14.5,0.76,217.3,72.6
1973,2025-01-10,Friday,North,R002,Metro,11,45,Midday,1427,0.0,21,24.3,0.89,228.3,98.0
715,2025-01-10,Friday,Central,R062,Tram,15,0,Midday,1068,5.2,15,25.8,0.7,149.5,69.6
5770,2025-01-10,Friday,Central,R080,Bus,16,15,Midday,1023,6.6,16,26.4,0.63,122.8,68.4
2206,2025-01-10,Friday,South,R019,Rail,19,0,Evening Peak,781,5.6,10,6.1,0.81,140.6,80.1
1091,2025-01-10,Friday,Central,R080,Bus,19,45,Evening Peak,614,8.0,8,4.6,0.62,73.7,72.1
3652,2025-01-10,Friday,Central,R030,Rail,22,0,Late Evening,491,3.6,14,25.5,0.65,88.4,82.3
4016,2025-01-10,Friday,South,R021,Bus,22,0,Late Evening,578,6.1,6,9.5,0.63,69.4,63.4
2525,2025-01-10,Friday,North,R005,Metro,22,30,Late Evening,1359,4.2,18,5.9,0.85,217.4,78.1
485,2025-01-10,Friday,East,R055,Bus,22,45,Late Evening,632,7.7,10,17.5,0.6,75.8,79.2
3726,2025-01-11,Saturday,East,R020,Bus,6,0,Early Morning,597,5.9,15,14.9,0.66,71.6,75.1
4578,2025-01-11,Saturday,East,R068,Rail,10,15,Morning Peak,492,4.8,14,22.1,0.75,88.6,80.7
1123,2025-01-11,Saturday,Central,R071,Bus,10,30,Morning Peak,740,1.2,16,13.1,0.65,88.8,73.3
5942,2025-01-11,Saturday,North,R027,Bus,10,45,Morning Peak,718,2.2,18,16.6,0.69,86.2,87.3
2241,2025-01-11,Saturday,North,R014,Metro,11,30,Midday,589,2.5,18,20.2,0.63,94.2,83.6
3943,2025-01-11,Saturday,West,R031,Bus,13,30,Midday,1245,2.6,15,24.1,0.64,149.4,85.1
2601,2025-01-11,Saturday,West,R067,Bus,14,45,Midday,574,3.1,13,27.1,0.6,68.9,81.5
5563,2025-01-11,Saturday,West,R050,Metro,15,30,Midday,1261,4.5,11,10.0,0.91,201.8,78.8
5978,2025-01-11,Saturday,South,R077,Metro,16,45,Midday,1905,6.6,20,12.0,0.95,304.8,83.4
1380,2025-01-11,Saturday,Central,R001,Bus,20,15,Late Evening,297,4.0,16,4.6,0.71,35.6,80.7
5022,2025-01-11,Saturday,North,R027,Rail,20,15,Late Evening,432,4.8,15,16.7,0.77,77.8,82.7
1293,2025-01-11,Saturday,South,R050,Rail,20,30,Late Evening,780,9.8,6,15.4,0.71,140.4,72.0
4976,2025-01-11,Saturday,West,R071,Bus,22,30,Late Evening,368,6.9,14,20.3,0.61,44.2,65.0
1802,2025-01-11,Saturday,Central,R054,Cycling,22,45,Late Evening,322,0.8,18,10.5,0.43,29.0,87.8
1539,2025-01-11,Saturday,West,R003,Bus,23,30,Late Evening,663,9.6,14,15.1,0.54,79.6,55.2
1701,2025-01-12,Sunday,Central,R074,Rail,8,0,Morning Peak,1256,12.5,8,5.8,0.79,226.1,61.0
1873,2025-01-12,Sunday,Central,R080,Bus,8,0,Morning Peak,786,8.9,11,23.4,0.64,94.3,59.9
5787,2025-01-12,Sunday,East,R040,Bus,9,30,Morning Peak,940,9.2,14,16.4,0.6,112.8,60.6
4264,2025-01-12,Sunday,South,R080,Bus,10,0,Morning Peak,507,1.3,15,10.6,0.7,60.8,74.6
1871,2025-01-12,Sunday,South,R073,Bus,10,15,Morning Peak,452,7.1,15,27.2,0.51,54.2,81.8
3841,2025-01-12,Sunday,North,R073,Rail,10,15,Morning Peak,513,7.5,15,18.9,0.61,92.3,81.4
1755,2025-01-12,Sunday,North,R077,Rail,11,30,Midday,556,6.2,9,11.4,0.71,100.1,83.0
852,2025-01-12,Sunday,West,R079,Metro,11,45,Midday,878,6.7,19,26.6,0.78,140.5,71.5
2696,2025-01-12,Sunday,Central,R001,Tram,11,45,Midday,527,6.0,10,26.3,0.6,73.8,76.6
1434,2025-01-12,Sunday,West,R055,Rail,12,0,Midday,748,8.6,11,7.8,0.63,134.6,77.0
3499,2025-01-12,Sunday,South,R061,Metro,14,0,Midday,730,3.7,13,10.3,0.71,116.8,72.8
2021,2025-01-12,Sunday,Central,R080,Rail,14,15,Midday,681,4.4,9,7.6,0.63,122.6,80.3
682,2025-01-12,Sunday,North,R028,Rail,14,45,Midday,1344,1.7,15,5.7,0.67,241.9,85.7
2134,2025-01-12,Sunday,Central,R024,Bus,15,0,Midday,1055,9.0,12,11.2,0.74,126.6,78.2
3000,2025-01-12,Sunday,Central,R061,Rail,15,15,Midday,583,2.7,21,21.2,0.77,104.9,71.3
1424,2025-01-12,Sunday,North,R026,Bus,16,15,Midday,855,10.1,13,12.6,0.61,102.6,70.5
1668,2025-01-12,Sunday,West,R026,Bus,17,15,Evening Peak,1464,12.8,10,16.2,0.8,175.7,60.4
2369,2025-01-12,Sunday,Central,R077,Rail,17,15,Evening Peak,1256,13.1,6,19.4,0.73,226.1,57.2
2319,2025-01-12,Sunday,Central,R065,Cycling,18,15,Evening Peak,438,6.7,4,11.4,0.45,39.4,68.4
5599,2025-01-12,Sunday,North,R056,Bus,18,15,Evening Peak,805,5.2,13,9.6,0.69,96.6,75.0
5765,2025-01-12,Sunday,East,R043,Bus,18,30,Evening Peak,796,9.5,7,12.9,0.72,95.5,68.0
519,2025-01-12,Sunday,South,R023,Bus,21,15,Late Evening,761,2.6,14,24.3,0.61,91.3,83.8
2413,2025-01-12,Sunday,North,R076,Bus,21,30,Late Evening,423,5.5,14,7.5,0.7,50.8,83.2
3668,2025-01-12,Sunday,Central,R054,Tram,22,30,Late Evening,285,5.1,13,23.7,0.56,39.9,70.9
5729,2025-01-12,Sunday,South,R037,Bus,22,30,Late Evening,717,10.3,6,17.8,0.67,86.0,59.7
2485,2025-01-13,Monday,South,R069,Rail,5,15,Early Morning,556,4.7,13,3.6,0.66,100.1,79.3
3782,2025-01-13,Monday,South,R007,Shared Mobility,9,30,Morning Peak,559,5.7,15,12.0,0.44,28.0,98.0
3794,2025-01-13,Monday,Central,R005,Tram,10,0,Morning Peak,545,4.6,17,4.5,0.62,76.3,71.5
5433,2025-01-13,Monday,East,R073,Bus,10,30,Morning Peak,886,7.6,13,21.0,0.79,106.3,82.2
5052,2025-01-13,Monday,Central,R022,Tram,11,0,Midday,753,6.9,8,21.5,0.6,105.4,80.8
3749,2025-01-13,Monday,East,R060,Tram,11,30,Midday,499,6.5,12,14.7,0.47,69.9,66.5
3622,2025-01-13,Monday,South,R034,Bus,12,30,Midday,1673,8.4,17,25.4,0.73,200.8,56.9
5131,2025-01-13,Monday,South,R044,Metro,15,15,Midday,657,1.3,18,4.8,0.7,105.1,90.7
555,2025-01-13,Monday,West,R054,Rail,15,30,Midday,547,2.6,20,25.2,0.71,98.5,86.3
1671,2025-01-13,Monday,East,R022,Metro,16,45,Midday,1800,7.7,9,20.1,0.84,288.0,75.7
3722,2025-01-13,Monday,Central,R073,Rail,17,0,Evening Peak,1459,8.0,5,13.0,0.77,262.6,64.5
917,2025-01-13,Monday,North,R033,Bus,17,15,Evening Peak,1419,10.2,13,4.7,0.69,170.3,76.1
5009,2025-01-13,Monday,East,R074,Bus,17,30,Evening Peak,892,7.8,6,24.5,0.73,107.0,73.3
4924,2025-01-13,Monday,North,R050,Tram,17,45,Evening Peak,912,8.2,7,12.2,0.56,127.7,65.8
5160,2025-01-13,Monday,North,R072,Bus,18,0,Evening Peak,1995,9.6,3,10.7,0.86,239.4,61.1
2690,2025-01-13,Monday,South,R020,Rail,19,15,Evening Peak,837,4.2,16,7.1,0.78,150.7,73.9
152,2025-01-13,Monday,West,R012,Bus,21,0,Late Evening,770,7.1,16,5.1,0.7,92.4,75.4
379,2025-01-13,Monday,East,R046,Shared Mobility,21,15,Late Evening,250,4.0,17,24.4,0.5,12.5,82.6
1008,2025-01-13,Monday,South,R005,Rail,21,30,Late Evening,919,7.2,8,5.0,0.72,165.4,68.1
3543,2025-01-13,Monday,Central,R029,Tram,21,30,Late Evening,736,5.6,12,5.1,0.56,103.0,76.5
4239,2025-01-13,Monday,East,R008,Bus,22,45,Late Evening,785,4.6,17,4.4,0.74,94.2,80.2
1947,2025-01-14,Tuesday,West,R068,Metro,7,30,Early Morning,1903,7.6,8,23.7,0.85,304.5,56.5
3657,2025-01-14,Tuesday,North,R044,Metro,8,30,Morning Peak,1669,4.3,11,24.2,0.91,267.0,77.5
1956,2025-01-14,Tuesday,Central,R005,Bus,9,15,Morning Peak,650,8.6,12,4.6,0.73,78.0,67.5
2383,2025-01-14,Tuesday,Central,R018,Tram,10,0,Morning Peak,881,7.7,13,9.6,0.61,123.3,71.1
2471,2025-01-14,Tuesday,North,R011,Bus,10,0,Morning Peak,1294,8.1,6,8.1,0.74,155.3,80.6
2731,2025-01-14,Tuesday,South,R004,Rail,10,0,Morning Peak,1052,1.6,13,3.7,0.77,189.4,86.7
886,2025-01-14,Tuesday,Central,R080,Metro,10,15,Morning Peak,1787,1.4,19,17.2,0.86,285.9,72.8
1058,2025-01-14,Tuesday,Central,R026,Bus,10,45,Morning Peak,859,7.7,9,22.7,0.66,103.1,71.1
5406,2025-01-14,Tuesday,South,R065,Bus,11,30,Midday,901,8.3,5,21.4,0.7,108.1,52.9
5432,2025-01-14,Tuesday,North,R075,Tram,11,30,Midday,484,9.8,5,15.8,0.55,67.8,55.0
51,2025-01-14,Tuesday,North,R023,Bus,13,15,Midday,607,6.7,10,3.2,0.66,72.8,85.8
1473,2025-01-14,Tuesday,East,R080,Bus,15,30,Midday,1015,7.8,13,14.2,0.79,121.8,74.4
